평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
2.8,0.0,0.6,45.9,3.0,1016.5,16.61,0.0,0.0,2.3,1
0.3,0.0,0.6,47.9,2.5,1021.4,16.24,0.0,0.3,2.3,1
2.6,0.0,2.6,29.9,2.2,1022.9,14.55,0.0,0.3,2.7,1
3.4,0.0,3.6,31.9,2.5,1013.5,15.57,0.0,0.9,2.6,1
3.1,0.0,3.0,53.9,4.2,1011.2,12.7,0.0,2.8,2.1,1
8.6,0.0,4.6,48.0,5.4,1006.7,12.5,0.0,7.5,3.0,1
7.5,0.0,2.5,42.1,4.4,1005.6,11.8,0.0,7.8,3.1,1
1.3,0.0,2.9,30.6,2.0,1010.9,14.79,0.0,0.0,2.6,1
-2.8,0.0,4.6,42.4,2.2,1010.8,15.02,0.0,0.4,1.9,1
-3.1,0.0,3.8,34.1,1.7,1020.0,13.58,0.0,0.3,2.1,1
-0.1,0.0,2.5,45.6,3.0,1013.6,9.39,0.0,7.3,1.6,1
-5.6,0.0,5.1,32.8,1.5,1012.1,15.49,0.0,1.9,2.0,1
2.1,0.0,1.4,39.1,2.9,1015.0,4.76,0.0,6.8,1.2,1
0.5,0.0,1.4,38.3,2.5,1021.2,4.82,0.0,7.4,1.0,1
-5.6,0.0,0.8,57.3,2.2,1012.1,13.45,0.0,1.9,1.1,1
3.9,0.0,0.7,68.3,5.6,1016.1,7.84,0.0,4.1,1.1,1
6.9,0.0,2.0,51.9,5.2,1019.4,8.01,0.0,4.9,1.6,1
6.2,0.0,2.9,42.4,3.9,1014.6,12.87,0.0,0.0,2.8,1
3.0,0.8,2.0,76.6,5.8,1016.4,8.09,0.0,4.4,1.7,1
1.8,0.0,2.7,46.1,3.2,1021.2,12.36,0.0,1.8,1.9,2
2.1,0.0,3.0,41.6,3.0,1015.8,9.22,0.0,1.4,1.9,1
-0.8,0.0,0.8,54.9,3.2,1022.2,11.93,0.0,2.4,1.5,1
5.2,0.0,3.7,69.5,6.1,1010.9,9.54,0.0,6.3,1.6,1
3.9,0.0,0.4,58.6,4.5,1018.9,10.6,0.0,1.9,1.4,1
0.3,0.0,2.3,52.8,3.3,1023.5,12.32,0.0,3.1,1.4,1
-7.2,0.0,1.0,59.1,2.0,1029.6,10.63,0.0,1.9,0.9,1
17.9,1.1,3.2,75.6,15.5,1007.7,8.96,0.0,6.9,1.9,1
13.6,0.0,2.4,45.5,7.2,1011.1,12.01,0.0,4.5,2.3,1
11.6,0.0,3.2,49.1,6.8,1012.2,11.19,0.0,4.4,2.7,1
16.0,0.0,4.2,36.6,6.5,1010.2,10.98,0.0,2.3,5.0,2
8.6,0.0,0.5,62.3,6.3,1020.0,13.86,0.0,0.3,2.4,1
6.5,0.0,1.7,51.3,4.8,1014.5,15.06,0.0,0.0,2.6,1
9.4,0.0,1.5,60.3,6.7,1011.7,8.58,0.0,6.5,1.8,1
16.4,0.0,2.5,48.0,8.7,1007.8,15.86,0.0,1.3,4.0,1
13.0,0.0,0.9,65.0,9.2,1012.2,15.25,0.0,0.0,2.4,1
15.9,0.0,0.9,65.0,11.2,1016.4,15.41,0.0,2.5,2.7,1
13.6,0.0,0.5,69.9,10.1,1021.2,16.09,0.0,2.9,2.6,1
10.8,0.0,2.1,56.9,6.9,1019.1,18.18,0.0,0.0,3.3,1
10.8,0.0,2.1,56.9,6.9,1019.1,18.18,0.0,0.0,3.3,1
11.3,0.0,1.2,56.8,7.2,1017.7,18.14,0.0,0.0,3.2,1
11.7,0.0,3.1,52.3,7.0,1015.6,18.2,0.0,0.0,3.4,1
15.9,0.0,0.7,64.0,11.0,999.6,21.01,0.0,3.9,3.4,1
27.8,0.0,2.3,72.6,26.2,997.5,27.25,0.0,3.5,6.1,1
20.4,0.0,1.8,75.8,17.9,1009.5,16.48,0.0,8.0,3.0,1
24.5,0.0,2.0,62.8,18.5,999.4,27.2,0.0,4.1,5.8,1
24.8,0.0,1.9,58.6,17.0,1001.6,27.21,0.0,2.6,6.3,1
22.1,0.0,2.6,41.6,10.4,995.8,30.79,0.0,0.6,7.6,1
19.1,0.0,1.8,57.6,11.7,1003.0,20.31,0.0,2.3,4.7,1
24.7,0.0,2.9,39.4,11.5,1001.1,29.65,0.0,2.0,6.9,2
22.6,0.0,3.5,50.5,14.0,997.5,30.64,0.0,4.6,5.3,2
23.6,0.0,3.1,36.3,10.2,1000.2,26.45,0.0,0.9,7.5,1
22.4,0.0,5.3,47.6,13.0,993.0,30.2,0.0,0.1,7.7,1
22.4,0.0,5.3,47.6,13.0,993.0,30.2,0.0,0.1,7.7,1
22.1,0.0,3.3,40.6,10.3,998.5,30.17,0.0,3.8,8.1,1
21.8,0.0,1.3,49.1,12.2,999.6,27.6,0.0,4.8,6.1,2
24.7,0.0,2.5,53.8,16.4,1012.5,26.11,0.0,2.3,5.7,1
21.9,0.0,2.9,57.8,14.9,998.5,28.5,0.0,0.5,5.8,1
20.3,0.0,2.5,70.9,16.5,997.6,24.3,0.0,3.8,4.6,1
24.8,0.0,3.7,45.6,13.5,1000.9,27.59,0.0,0.9,7.8,1
20.0,0.0,1.3,59.4,13.5,991.9,23.17,0.0,3.4,4.0,1
23.4,0.0,2.7,41.0,11.7,1012.2,24.68,0.0,5.6,6.4,1
18.2,0.0,1.9,66.1,13.0,997.5,13.72,0.0,6.3,3.0,1
19.9,0.6,1.3,48.1,10.4,998.6,16.75,0.0,4.6,3.7,1
15.9,0.0,2.6,48.6,7.7,1007.3,30.21,0.0,1.4,7.0,1
16.2,0.0,1.4,43.9,7.7,1010.1,28.56,0.0,6.3,5.3,1
15.7,0.0,3.3,45.5,7.9,1001.8,22.58,0.0,4.4,5.2,1
18.0,0.0,1.8,58.8,11.4,1008.5,25.82,0.0,4.8,5.2,1
17.8,0.0,3.3,68.3,13.5,1017.3,16.91,0.0,6.5,3.2,1
19.4,0.0,2.6,66.0,14.7,1008.0,28.82,0.0,0.0,5.1,1
15.2,0.0,1.5,70.0,11.4,1015.9,27.73,0.0,1.4,5.0,1
10.8,0.0,2.3,67.9,8.0,1009.8,26.92,0.0,2.1,4.7,1
21.7,2.5,1.7,58.4,14.0,1004.7,19.27,0.0,5.5,3.8,1
24.1,0.0,3.2,38.0,11.2,1004.7,26.68,0.0,4.1,7.1,1
19.7,0.0,1.3,58.9,13.1,1004.0,24.19,0.0,5.4,4.7,1
21.8,0.0,2.4,50.3,12.4,1009.5,25.97,0.0,1.8,6.2,1
24.1,0.0,3.2,38.0,11.2,1004.7,26.68,0.0,4.1,7.1,1
18.9,0.0,1.4,55.3,11.0,1004.0,20.53,0.0,8.3,3.8,1
15.0,0.0,3.4,77.8,12.9,1008.2,14.25,0.0,7.8,2.6,2
13.5,0.0,4.1,85.4,13.1,1008.5,7.49,0.0,6.0,1.5,1
18.2,0.0,1.6,35.5,6.7,1009.1,26.13,0.0,0.5,6.3,1
18.2,0.0,1.6,35.5,6.7,1009.1,26.13,0.0,0.5,6.3,2
18.2,0.0,1.6,35.5,6.7,1009.1,26.13,0.0,0.5,6.3,2
17.0,0.0,1.6,30.8,5.5,1011.7,26.17,0.0,1.1,6.0,2
18.4,0.0,2.2,31.4,6.1,1010.2,25.3,0.0,1.5,6.7,1
11.9,0.0,2.8,70.8,9.7,1009.3,25.03,0.0,0.0,3.8,2
18.1,0.0,2.0,33.3,6.4,1010.8,21.29,0.0,6.0,5.4,1
12.3,0.0,3.2,56.4,7.9,1009.6,21.27,0.0,5.6,3.7,1
18.0,0.0,2.6,25.5,5.1,1016.4,23.92,0.0,7.0,6.1,1
13.5,0.0,1.9,45.3,6.3,1010.7,26.3,0.0,2.4,5.3,1
20.5,0.0,2.1,77.4,18.1,1005.3,21.81,0.0,3.1,3.7,1
20.3,0.0,1.7,66.3,15.2,1007.5,22.7,0.0,3.0,4.4,1
19.5,0.0,1.6,50.6,10.8,1010.2,22.22,0.0,4.4,4.6,1
17.8,0.0,5.2,69.8,14.1,1009.0,25.83,0.0,5.4,4.3,2
14.8,0.0,1.8,62.5,9.7,1013.6,23.31,0.0,3.3,4.7,1
14.8,0.0,1.8,62.5,9.7,1013.6,23.31,0.0,3.3,4.7,1
18.7,0.0,1.8,52.1,10.9,1008.8,23.91,0.0,4.9,4.7,1
18.7,0.0,1.8,52.1,10.9,1008.8,23.91,0.0,4.9,4.7,1
15.6,0.0,4.7,51.4,8.9,1012.3,22.23,0.0,0.9,5.1,2
13.5,0.0,1.9,49.5,7.5,1015.3,24.44,0.0,0.0,4.2,1
10.2,0.0,2.3,55.1,6.7,1012.8,22.61,0.0,5.5,3.7,1
8.9,0.0,2.7,50.5,5.5,1014.1,21.18,0.0,6.8,3.4,1
14.7,0.0,2.5,32.8,5.3,1021.7,24.54,0.0,0.5,6.3,1
7.5,0.0,1.4,56.6,5.3,1025.3,24.36,0.0,1.1,4.0,1
7.5,0.0,1.4,65.3,6.1,1024.9,23.42,0.0,1.3,3.7,1
9.6,0.0,2.1,55.0,6.1,1017.3,24.34,0.0,0.0,4.2,1
9.2,0.0,2.6,50.5,5.6,1018.1,23.35,0.0,1.1,3.7,1
8.4,0.0,2.0,38.6,4.3,1021.1,16.72,0.0,7.4,2.8,1
9.1,0.0,2.3,57.5,6.6,1008.7,12.11,0.0,5.6,2.4,1
5.7,0.0,1.7,70.9,6.1,1017.7,12.46,0.0,8.8,2.1,2
4.7,0.0,1.2,66.3,5.6,1014.9,17.01,0.0,1.5,2.1,2
5.2,0.0,1.6,37.0,3.0,1013.5,16.73,0.0,4.4,2.7,1
5.0,0.0,2.6,36.1,3.1,1010.7,21.95,0.0,1.5,3.5,2
6.2,0.0,4.1,24.6,2.4,1006.8,19.62,0.0,0.0,4.4,2
6.9,0.0,5.3,30.9,3.1,1006.9,20.03,0.0,0.0,4.8,2
6.4,0.0,4.8,67.4,6.4,1002.8,10.29,0.0,4.8,2.4,1
10.5,0.0,2.4,67.5,8.1,1006.5,16.42,0.0,4.9,3.0,1
12.6,0.0,3.7,28.8,4.2,1005.4,16.52,0.0,4.0,5.3,2
6.9,0.0,3.6,60.5,6.1,1001.0,10.65,0.0,5.1,2.5,2
6.3,0.0,1.6,48.4,4.4,1013.7,18.47,0.0,0.0,3.0,1
7.0,0.0,3.2,45.0,4.4,1006.6,21.0,0.0,0.5,3.8,2
6.5,0.6,1.6,73.1,7.2,1012.5,9.1,0.0,5.9,1.2,1
5.0,0.0,3.2,51.9,4.5,1019.4,18.35,0.0,0.0,2.8,1
1.8,0.0,2.1,68.3,4.7,1018.4,17.66,0.0,0.4,2.2,1
6.8,1.8,2.5,49.9,4.5,1006.1,15.47,0.0,3.8,3.2,2
4.1,0.5,5.5,80.6,6.6,1009.0,6.28,0.0,6.1,1.2,1
6.0,1.7,2.3,65.1,5.9,1011.6,14.25,0.0,6.3,2.2,1
7.7,0.0,4.6,54.8,5.7,1010.7,18.41,0.0,0.9,3.6,1
6.8,0.1,2.5,52.5,4.8,1012.3,16.2,0.0,3.1,3.7,2
-2.4,0.0,2.2,52.4,2.8,1019.6,18.42,0.0,0.0,1.9,2
-1.6,0.0,2.5,51.5,2.9,1021.9,17.54,0.0,0.0,1.9,1
0.6,0.0,1.7,29.9,1.9,1024.3,17.82,0.0,0.0,2.6,2
-1.4,0.0,3.1,36.9,2.0,1018.2,18.45,0.0,0.9,2.7,1
1.9,0.0,3.6,24.5,1.7,1022.6,18.83,0.0,0.0,4.0,1
0.0,0.0,1.4,50.5,3.1,1022.7,14.92,0.0,2.1,1.5,1
0.0,0.0,1.4,50.5,3.1,1022.7,14.92,0.0,2.1,1.5,1
0.2,0.0,1.7,50.5,3.0,1023.2,17.34,0.0,5.1,2.1,1
-1.2,0.0,2.0,56.8,3.2,1021.1,12.75,0.0,4.0,1.7,1
-2.6,0.0,1.7,48.9,2.5,1008.7,12.23,0.0,3.3,1.5,1
-0.4,0.0,1.7,44.6,2.7,1004.2,8.93,0.0,7.6,1.4,1
2.9,0.0,4.3,40.1,3.2,1020.2,17.28,0.0,5.4,2.6,1
-1.7,0.0,4.5,40.4,2.2,1011.5,18.16,0.0,0.3,2.6,1
-3.1,1.1,1.2,83.0,4.1,1015.6,9.63,2.2,7.4,0.8,1
1.1,0.0,1.8,35.4,2.3,1014.2,15.36,0.0,0.6,2.2,2
0.2,0.0,1.5,50.3,3.0,1016.2,16.56,0.0,1.0,2.1,1
2.4,0.5,1.3,64.5,4.6,1001.7,8.22,0.0,6.9,1.3,1
8.9,0.0,3.2,65.1,7.3,1011.2,11.76,0.0,8.1,2.0,1
8.5,0.0,2.1,48.9,5.3,1014.8,16.0,0.0,3.6,3.1,1
6.7,0.0,1.8,42.5,4.1,1015.6,15.99,0.0,1.4,2.7,1
5.3,0.0,1.9,41.1,3.4,1015.1,14.35,0.0,2.8,2.7,2
4.2,0.0,1.3,45.3,3.6,1014.6,16.23,0.0,2.1,2.3,1
-1.4,0.2,1.1,77.9,4.3,1020.6,9.68,1.6,4.5,1.0,1
-1.2,0.0,4.1,43.1,2.4,1014.3,16.51,0.0,0.1,2.3,1
2.1,0.0,2.5,27.9,1.9,1022.4,14.49,0.0,0.1,2.8,1
-5.9,0.0,0.8,57.9,2.1,1019.8,13.48,0.0,0.0,1.4,1
2.9,0.0,2.2,24.6,1.8,1017.2,13.34,0.0,5.0,2.7,2
-3.5,0.0,0.9,61.8,2.8,1022.4,11.67,0.0,2.5,1.2,1
2.6,0.0,2.0,61.5,4.5,1012.3,10.14,0.0,6.1,1.3,1
4.5,0.0,1.3,66.6,5.6,1014.8,5.53,0.0,9.1,1.1,1
7.1,0.0,0.7,62.8,6.3,1011.6,6.41,0.0,7.8,0.9,2
7.1,0.0,0.7,62.8,6.3,1011.6,6.41,0.0,7.8,0.9,1
1.5,0.0,3.0,44.6,3.0,1016.6,13.96,0.0,0.1,2.0,1
2.1,0.0,3.5,34.0,2.5,1013.4,13.16,0.0,1.3,2.4,1
-4.1,0.0,2.7,39.4,1.7,1015.7,12.6,0.0,0.0,1.7,1
1.9,0.0,1.5,66.6,4.7,1017.1,11.28,0.0,6.4,1.5,1
-2.7,0.0,4.0,56.1,2.9,1016.8,12.08,0.0,1.3,1.5,1
4.8,0.0,4.2,42.0,3.6,1012.8,12.8,0.0,0.4,2.6,2
-2.7,1.5,0.6,76.8,3.8,1018.0,6.69,0.0,7.4,0.7,1
4.2,0.0,2.0,32.9,2.6,1021.2,11.09,0.0,2.6,2.3,1
1.9,0.0,2.0,39.4,2.6,1019.5,11.68,0.0,1.9,2.2,1
-0.2,0.0,1.4,46.3,2.7,1020.5,11.1,0.0,1.4,1.5,2
-0.2,0.0,1.6,50.1,2.8,1018.7,11.16,0.0,1.0,1.8,1
-1.7,0.0,2.0,56.1,3.0,1018.1,7.46,0.4,2.1,1.1,1
3.5,0.0,2.0,61.9,4.7,1013.2,8.2,0.0,6.3,2.0,1
6.4,0.0,2.0,80.8,7.7,1014.2,6.82,0.0,4.6,1.1,1
3.1,0.0,3.2,40.8,3.1,1015.2,10.81,0.0,2.1,2.3,1
-1.4,0.0,3.1,34.5,1.9,1015.9,12.81,0.0,0.6,2.1,1
1.0,0.0,2.0,50.9,3.3,1019.1,12.83,0.0,0.1,1.7,1
11.6,0.0,2.8,51.5,7.0,1017.8,13.16,0.0,3.1,2.6,1
5.4,0.0,0.6,61.8,5.0,1022.3,12.81,0.0,0.0,2.1,1
11.8,0.0,2.5,50.5,6.9,1015.1,13.23,0.0,3.3,3.1,1
16.4,0.0,2.7,48.8,9.0,1011.0,11.12,0.0,6.8,3.2,1
12.3,0.0,0.9,75.4,10.5,1014.1,10.93,0.0,5.6,1.6,1
23.8,0.3,3.5,53.1,15.4,1002.0,18.14,0.0,5.9,4.7,1
26.9,0.0,1.8,57.9,20.4,998.5,10.24,0.0,8.5,2.9,2
28.1,0.0,1.2,70.9,26.2,995.6,23.87,0.0,3.9,4.4,1
23.3,0.0,3.6,78.3,22.3,1010.3,9.64,0.0,8.0,2.4,1
26.1,0.0,2.7,46.9,15.7,1008.7,16.34,0.0,7.4,4.4,1
26.1,0.0,2.7,46.9,15.7,1008.7,16.34,0.0,7.4,4.4,1
13.9,0.0,2.5,54.1,7.5,990.7,29.86,0.0,0.1,5.8,1
13.9,0.0,2.5,54.1,7.5,990.7,29.86,0.0,0.1,5.8,1
16.3,0.0,2.4,60.0,10.7,997.6,25.38,0.0,0.5,4.5,1
16.9,0.1,4.1,57.5,10.7,997.5,27.0,0.0,5.4,4.8,1
16.3,11.4,6.9,49.9,8.6,998.1,25.89,0.0,3.9,6.2,1
12.9,0.5,2.4,64.3,9.3,997.8,14.94,0.0,8.0,2.5,1
16.6,0.0,1.4,53.8,9.9,1010.3,15.23,0.0,8.6,3.0,1
16.6,0.0,1.2,50.9,9.2,1011.0,13.67,0.0,9.3,2.9,1
13.6,0.0,2.3,63.1,9.3,1016.0,26.66,0.0,3.5,4.4,1
16.4,0.0,1.7,42.6,7.5,1001.8,26.03,0.0,1.0,5.0,2
16.0,0.0,1.3,62.0,10.5,1015.8,24.73,0.0,1.1,4.3,1
17.0,0.0,3.8,45.3,8.7,1010.3,13.64,0.0,9.1,3.8,1
19.4,0.0,1.5,52.6,11.1,1001.0,14.35,0.0,9.9,3.5,1
15.9,0.0,2.1,73.9,13.3,1021.0,21.75,0.0,8.1,3.5,1
13.6,0.0,5.5,47.1,7.4,1006.7,25.08,0.0,1.6,7.3,1
10.7,0.0,2.0,60.3,7.3,1007.4,19.02,0.0,4.9,3.7,1
13.2,18.1,3.7,65.3,9.5,1008.5,4.87,0.0,9.9,1.7,1
12.9,0.0,1.5,58.3,8.1,1026.2,22.4,0.0,3.0,3.8,1
13.3,0.0,1.0,58.6,8.1,1015.2,23.9,0.0,3.3,4.2,1
18.1,0.0,2.5,39.0,8.2,1012.3,17.79,0.0,8.0,3.8,1
17.7,0.0,3.5,33.0,6.3,1008.1,20.91,0.0,5.3,6.2,1
13.3,0.0,0.9,59.9,8.4,1012.8,23.73,0.0,0.3,4.0,1
8.8,0.0,1.8,44.9,5.0,1008.8,20.79,0.0,0.3,3.7,1
7.1,0.0,2.5,45.0,4.5,1011.0,19.4,0.0,0.8,3.1,1
9.8,0.0,1.1,67.5,7.8,1012.0,20.73,0.0,0.4,2.8,1
9.4,0.0,2.7,46.0,5.3,1017.6,17.92,0.0,6.3,3.3,1
8.8,0.0,3.7,44.5,4.9,1024.5,17.09,0.0,3.9,3.3,2
7.4,0.0,3.1,27.6,2.6,1015.1,16.45,0.0,5.4,3.9,1
0.9,0.0,2.8,39.8,2.6,1016.9,13.97,0.0,7.3,2.1,1
3.6,0.0,1.6,38.5,2.9,1016.3,16.24,0.0,2.8,2.4,2
13.7,0.0,2.5,50.3,7.9,1006.0,15.29,0.0,0.6,4.1,1
12.4,0.0,3.7,69.0,9.7,1005.8,15.73,0.0,0.0,2.9,1
5.0,0.0,5.9,53.0,4.6,1010.9,15.9,0.0,0.0,3.0,1
-3.0,0.0,3.5,34.8,1.7,1014.5,16.84,0.0,1.3,2.9,1
-1.9,0.0,3.3,36.6,2.0,1009.2,12.3,0.0,1.5,1.9,2
7.7,4.3,1.0,82.8,8.8,1009.1,5.96,0.0,9.3,0.8,1
7.6,0.0,1.5,50.6,5.0,1013.7,14.36,0.0,1.1,2.6,1
-3.0,0.0,5.7,39.1,1.9,1019.9,14.91,0.0,0.0,2.1,1
6.6,0.0,2.2,62.4,5.9,1012.6,13.17,0.0,1.1,2.8,1
5.2,0.0,1.1,62.0,5.5,1009.5,13.66,0.0,0.0,1.9,1
5.4,0.0,1.3,53.6,4.8,1023.4,12.21,0.0,3.9,1.7,1
-2.6,0.0,4.3,30.5,1.5,1013.9,15.41,0.0,0.0,2.0,1
4.4,0.0,4.0,46.1,4.1,1005.6,9.17,0.0,3.4,1.9,1
-2.6,0.0,1.7,43.0,2.1,1024.4,13.12,0.0,0.0,1.5,1
-5.5,0.0,2.3,58.5,2.5,1016.4,10.83,0.1,2.3,1.0,1
-2.3,0.0,2.3,45.4,2.4,1016.9,13.18,0.0,0.9,1.8,1
-0.6,0.0,0.9,83.1,4.9,1017.7,9.0,0.3,7.3,0.8,1
5.1,0.0,1.2,63.9,5.4,1010.7,10.89,0.0,4.3,1.6,1
8.4,0.0,3.5,41.3,4.6,1006.8,9.38,0.0,4.4,2.9,1
2.7,0.0,4.3,59.1,4.5,1010.1,9.1,0.0,1.3,1.6,1
2.2,0.0,1.1,42.4,3.0,1022.3,8.9,0.0,5.5,1.5,1
3.0,0.0,3.3,46.4,3.6,1017.3,9.84,0.0,4.6,2.1,1
-4.1,0.0,2.8,26.4,1.1,1027.9,11.54,0.0,0.0,1.9,1
6.4,0.0,3.3,39.6,4.0,1008.0,8.99,0.0,4.6,2.5,1
2.6,0.0,1.0,52.6,3.7,1000.4,9.72,0.0,2.0,1.4,1
2.6,0.0,1.0,52.6,3.7,1000.4,9.72,0.0,2.0,1.4,1
6.3,0.0,2.3,28.9,2.7,1015.5,12.0,0.0,0.6,2.9,1
2.5,0.0,2.5,48.0,3.4,1021.1,9.51,0.0,1.0,1.5,1
8.8,0.0,1.4,50.3,5.6,1020.6,7.56,0.0,6.4,1.4,1
11.4,0.0,1.6,77.5,10.0,1020.9,8.32,0.0,4.6,1.6,1
13.2,0.0,0.5,66.8,9.4,1020.2,13.02,0.0,0.4,2.0,1
12.5,0.0,0.9,52.8,7.1,1022.8,11.89,0.0,0.0,2.3,1
11.7,0.0,0.8,67.6,8.9,1019.5,13.54,0.0,0.0,2.2,1
12.9,0.0,1.4,33.9,5.0,1015.7,12.72,0.0,0.0,3.2,1
14.1,0.0,2.8,29.0,4.8,1010.8,14.6,0.0,0.0,4.3,1
13.3,0.0,2.2,74.6,11.1,1013.7,11.01,0.0,2.6,2.2,1
1.8,0.0,0.9,56.3,3.5,1006.8,14.07,0.0,1.1,2.0,1
8.8,0.0,2.3,54.5,6.1,1013.6,14.68,0.0,5.5,2.5,1
11.4,0.0,1.1,69.0,8.8,1019.2,14.13,0.0,3.6,2.1,1
12.2,0.0,1.3,66.8,9.1,1021.4,12.29,0.0,5.6,2.2,1
11.9,0.0,1.5,42.9,5.8,1015.2,14.62,0.0,0.4,3.1,1
15.1,0.0,1.1,66.5,11.4,1014.3,11.95,0.0,4.9,2.4,1
16.9,0.0,2.2,42.5,8.0,1014.1,13.76,0.0,3.8,3.5,1
17.8,0.0,3.6,45.9,9.3,1014.9,17.27,0.0,4.3,4.2,1
26.7,0.0,1.8,81.5,28.3,1008.2,17.26,0.0,5.8,3.1,1
28.1,0.1,1.8,54.8,19.9,1002.5,24.2,0.0,6.5,5.1,1
24.0,0.0,1.8,49.9,14.7,1006.6,29.41,0.0,0.0,5.7,1
24.0,0.0,1.8,49.9,14.7,1006.6,29.41,0.0,0.0,5.7,1
23.3,0.0,1.6,40.9,11.5,1006.8,29.02,0.0,0.0,6.3,1
21.5,0.0,2.5,49.5,12.7,1004.2,29.24,0.0,1.3,5.6,1
21.1,0.0,2.2,62.6,15.0,1012.5,27.01,0.0,0.5,5.5,1
21.5,0.0,2.5,49.5,12.7,1004.2,29.24,0.0,1.3,5.6,1
22.0,0.0,2.7,77.4,20.1,1007.6,22.48,0.0,4.8,3.2,1
24.1,0.0,1.7,56.5,16.7,997.6,22.91,0.0,5.3,4.9,1
25.6,0.0,2.7,51.8,16.9,1003.0,22.83,0.0,5.3,5.5,1
21.1,0.0,2.0,48.5,11.6,1003.6,28.41,0.0,3.8,5.6,1
19.2,0.0,2.7,67.6,14.8,1000.7,29.4,0.0,1.5,5.1,1
21.1,0.0,2.5,49.1,11.1,1000.9,25.97,0.0,2.6,6.6,1
18.4,2.9,3.0,37.0,7.4,1006.3,20.15,0.0,8.1,4.5,1
19.9,2.3,2.4,32.8,6.9,1004.4,23.26,0.0,7.4,5.7,1
19.7,0.0,3.1,33.0,7.3,1008.8,21.75,0.0,7.9,6.5,1
17.9,0.0,1.5,56.3,9.8,995.9,28.57,0.0,1.8,6.1,1
20.2,0.0,2.7,63.9,15.0,998.1,25.42,0.0,3.4,5.0,1
16.7,0.0,1.1,48.6,8.9,998.2,26.04,0.0,1.5,4.8,1
12.2,0.0,3.5,63.4,8.9,1011.4,25.76,0.0,0.0,4.0,1
15.2,0.0,2.3,46.1,7.0,1013.1,27.25,0.0,0.0,5.9,1
12.8,0.0,2.1,44.8,5.9,1009.6,29.61,0.0,1.6,5.5,1
8.5,0.0,2.6,57.3,6.0,993.9,24.45,0.0,2.9,4.3,2
11.1,0.0,5.1,39.1,5.3,1007.3,28.16,0.0,0.0,5.6,1
9.4,0.0,4.1,60.1,6.7,1011.8,26.87,0.0,0.4,5.0,1
8.7,0.0,4.0,47.9,5.2,1014.6,26.74,0.0,0.1,4.3,1
8.0,0.0,3.6,37.9,4.1,1008.8,26.65,0.0,1.0,4.4,1
10.7,17.2,1.4,86.6,10.9,1010.8,4.16,0.0,9.8,1.0,1
12.8,0.0,4.1,67.4,9.7,1012.8,23.91,0.0,3.0,3.7,1
16.1,0.0,1.9,38.4,6.7,1009.8,24.2,0.0,3.5,5.3,1
12.8,0.0,4.1,67.4,9.7,1012.8,23.91,0.0,3.0,3.7,1
12.5,0.0,1.1,41.9,5.1,1009.1,27.14,0.0,1.5,5.3,1
11.3,0.0,2.1,61.5,7.8,1012.3,25.28,0.0,1.1,4.3,2
10.7,0.0,1.4,40.1,4.5,997.7,24.39,0.0,0.8,5.0,2
8.3,1.7,2.0,67.1,7.0,1010.9,16.48,0.0,3.3,2.9,2
8.6,1.5,1.3,77.9,8.5,1004.1,16.35,0.0,6.1,2.2,1
10.3,0.0,4.4,56.6,6.7,1006.0,20.41,0.0,4.1,4.6,1
8.6,1.5,1.3,77.9,8.5,1004.1,16.35,0.0,6.1,2.2,1
11.1,0.0,1.1,41.9,5.3,1006.1,19.12,0.0,6.5,3.0,1
9.6,0.0,1.6,31.8,3.4,999.3,25.32,0.0,0.0,5.6,2
13.3,0.0,3.6,44.9,6.6,1008.0,25.54,0.0,0.6,5.1,1
9.4,0.0,3.1,70.1,8.2,1007.6,19.28,0.0,2.4,3.5,2
9.3,0.0,0.7,51.1,5.4,1016.4,24.31,0.0,4.0,3.9,1
7.8,0.0,1.7,37.1,3.7,1014.5,27.18,0.0,0.6,4.5,2
8.9,0.0,1.8,45.6,5.1,1012.5,25.23,0.0,0.0,4.3,1
15.3,0.0,2.8,25.3,4.1,1018.5,22.92,0.0,2.0,6.7,1
10.5,0.0,2.1,36.9,4.6,1016.8,22.65,0.0,2.8,4.1,1
10.6,0.0,5.2,40.1,5.0,1006.9,19.95,0.0,3.6,4.7,1
9.6,0.0,1.0,47.9,4.8,999.0,21.21,0.0,6.6,3.9,2
12.5,0.0,0.8,57.4,7.7,997.3,12.72,0.0,5.4,2.2,2
13.7,17.7,1.0,94.5,14.9,1006.6,3.42,0.0,10.0,0.6,1
13.1,0.0,1.5,57.4,8.3,1014.4,21.84,0.0,1.8,3.4,1
11.4,0.0,1.2,55.9,6.8,1012.0,23.37,0.0,0.0,4.2,1
9.6,0.0,1.5,67.8,7.6,1015.8,20.59,0.0,0.4,3.3,1
12.6,0.0,3.6,46.0,6.5,1007.8,23.07,0.0,0.0,4.9,1
10.8,0.0,1.5,46.0,5.8,1010.3,23.7,0.0,0.0,4.0,1
13.2,0.0,1.8,29.3,4.4,1011.7,22.03,0.0,0.0,4.6,1
9.9,0.0,4.7,44.3,5.1,1006.4,21.82,0.0,1.6,5.3,1
15.0,0.0,1.5,54.1,9.1,1005.3,19.77,0.0,2.3,3.6,1
