평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
-3.7,0.0,3.9,47.8,2.2,1022.8,17.08,0.0,0.5,1.8,2
-1.0,0.4,2.2,54.6,2.9,1024.2,18.78,2.1,2.1,2.2,2
-2.8,0.0,1.8,43.1,2.0,1021.6,17.09,0.0,0.0,2.1,1
0.0,0.0,2.7,30.1,1.8,1017.7,16.65,0.0,4.9,2.5,1
0.0,0.0,2.4,35.8,2.2,1024.5,16.27,0.0,0.0,2.3,1
-2.2,0.0,2.9,38.3,1.9,1016.7,18.11,0.0,0.1,2.5,2
-2.6,0.0,2.8,39.0,1.9,1011.1,16.78,0.0,0.0,2.4,2
4.2,0.0,1.3,47.8,3.7,1017.6,16.45,0.0,0.0,2.5,2
2.8,0.0,3.4,30.9,2.3,1016.0,15.52,0.0,0.0,3.3,1
0.5,0.0,2.0,59.8,3.7,1016.6,14.77,0.0,2.1,1.8,2
-5.1,0.0,3.7,39.3,1.6,1021.1,14.72,0.0,0.0,2.0,1
-5.4,0.6,2.8,62.0,2.7,1012.2,11.2,1.5,2.6,1.1,1
-6.1,0.0,4.4,32.9,1.2,1010.6,14.35,0.0,0.0,2.1,2
5.7,20.6,2.7,87.3,8.0,1011.0,1.09,0.0,9.8,0.5,1
3.2,0.1,1.4,56.4,4.2,1011.1,7.11,0.0,7.8,1.1,1
3.5,0.0,2.2,70.5,5.4,1021.9,6.39,0.0,5.9,1.3,1
3.9,0.0,1.2,56.4,4.5,1017.3,10.1,0.0,2.8,1.6,1
2.1,0.0,2.6,50.4,3.4,1018.2,12.2,0.0,0.0,2.0,1
0.6,0.0,0.3,62.1,3.7,1006.9,12.62,0.0,0.0,1.5,1
2.1,0.0,1.2,40.6,2.6,1011.3,11.8,0.0,2.6,1.9,1
2.4,0.0,1.0,44.9,2.8,1016.8,11.86,0.0,2.6,1.9,1
-1.1,0.0,1.8,72.4,3.9,1018.3,11.78,0.0,1.0,1.3,1
-1.3,0.8,1.9,66.1,3.6,1023.5,8.83,1.7,3.1,1.0,1
1.0,0.0,2.5,28.4,1.8,1014.1,12.25,0.0,1.8,2.1,1
6.7,0.0,2.4,33.0,3.2,1013.9,11.96,0.0,0.8,3.0,1
5.0,0.0,2.7,45.0,4.0,1016.9,9.74,0.0,0.6,2.1,1
-0.8,0.0,1.0,67.0,3.8,1008.4,9.63,0.0,0.0,1.2,1
4.2,0.0,3.9,32.5,2.7,1012.3,11.73,0.0,0.5,2.7,2
